Id,Id2,Geography,total_households,%_household_income_less_10_000,%_household_income_10_000_14_999,%_income_15_000_24_999,%_household_income_25_000_34_999,%_household_income_35_000_49_999,%_household_income_50_000_74_999,%_household_income_75_000_99_999,%_household_income_100_000_149_999,%_household_income_150_000_199_999,%_household_income_200_000_plus,household_income_median,household_income_mean,education_total_population,education_total_pop_high_school,education_total_pop_ged,education_total_pop_associates,education_total_pop_bachelors,education_total_pop_masters,education_total_pop_prof_degree,education_total_pop_doctorate,race_total_population,race_total_black_alone,race_total_black_alone,race_total_am_indian_alaskan_native_alone,race_total_asian_alone,race_total_native_hawaiian_other_pacific_islander_alone,race_total_some_other_race_alone,race_total_two_or_more_races,occupancy_total_population,occupancy_total_owner_occupied,occupancy_total_renter_occupied,insurance_percent,all_below_poverty_level_percent,hisporigin_total,hisporigin_not_hisp_or_latino,hisporigin_hisp_or_latino,median_gross_rent_as_%_of_household_income
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,-,-,-,-,-,-,-,-,-,-,-,-,5522,817,668,52,75,44,0,0,7411,1464,4509,22,125,0,1201,90,0,0,0,-,-,7411,5040,2371,-
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1321,13.5,2.2,5.8,9.6,11.1,13.8,12.9,19,10.5,1.6,62773,73687,3438,1071,134,321,373,135,15,7,5058,2665,1233,0,158,0,742,260,5052,2631,2421,8.3,22.9,5058,1130,3928,48.8
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1935,9.6,1.1,6.6,4.5,7.3,13.6,19.1,20.4,11.5,6.4,82697,94280,4180,722,162,601,675,483,13,18,5944,2616,1962,30,54,0,1085,197,5930,4568,1362,4.6,11.1,5944,1995,3949,40.6
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1962,12.8,13,12.2,15.4,17.9,16.6,2.4,8.1,1,0.6,33118,41480,3533,878,237,271,266,177,11,0,6115,2685,2320,0,11,0,989,110,5863,854,5009,8.6,25.9,6115,2242,3873,32
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",969,17,8.3,4.7,9.9,20.6,16.8,11.4,10.6,0,0.6,40117,50650,1837,330,102,139,285,115,20,0,2817,519,1054,0,78,0,1049,117,2323,289,2034,17.2,31.1,2817,1313,1504,33.9
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",3074,24.8,16.5,17.9,10,9.7,8.2,5.5,5.9,1.1,0.5,18370,33418,5698,1471,324,267,518,115,21,28,9608,3344,4500,261,104,0,1178,221,9608,1729,7879,8.7,52.6,9608,3781,5827,35.2
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1982,23.8,21.2,23.9,10.4,9.7,6.1,2.9,1.2,0.7,0,17426,24577,2803,1032,120,70,95,29,6,0,4733,629,1915,130,0,0,1932,127,4728,16,4712,8,49.3,4733,1883,2850,31
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",28,0,0,0,0,0,0,0,0,0,100,-,N,104,0,0,0,28,42,0,0,130,60,70,0,0,0,0,0,130,0,130,21.5,0,130,130,0,-
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1890,21.1,18.2,16.4,9.3,11.5,8.8,5.7,9,0,0,22771,35380,3466,700,161,102,195,76,39,0,5760,897,1368,27,53,14,3252,149,5760,229,5531,16.9,46.1,5760,1343,4417,35.8
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1059,33.2,10,19.8,10.8,12.6,9.6,3.5,0.5,0,0,17383,24324,1522,348,88,95,108,30,0,14,2958,216,928,0,0,0,1746,68,2958,0,2958,14.6,63.2,2958,901,2057,31.2
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1467,33.9,21.1,8,10.7,8.9,6.9,6.5,3.1,1,0,13216,27693,2415,535,133,136,170,8,0,0,4538,495,1648,64,0,0,2243,88,4219,253,3966,15.8,50.3,4538,1562,2976,50.0+
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2377,2,2.9,11.4,11.4,15.1,33.2,9.5,12.5,1.6,0.5,52294,59662,4015,758,271,449,596,169,16,0,5423,813,3488,0,40,0,687,395,5414,1251,4163,4,4.4,5423,3209,2214,28.1
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",564,9.9,8.5,15.4,7.4,18.1,15.4,15.2,8.7,1.2,0,42353,51543,1020,207,79,94,146,6,0,0,1675,355,540,0,29,0,644,107,1675,383,1292,15.2,21.1,1675,485,1190,34.9
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1216,28,12.5,22.3,14.4,7.9,7.3,2.3,0,4.4,0.9,20413,31382,2020,351,107,214,120,22,11,0,3693,353,1209,124,0,0,1901,106,3693,416,3277,7.6,54.1,3693,1422,2271,36.8
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1328,21.1,8.7,13.3,13.6,13.6,11.5,15.1,1.5,1.7,0,31638,39015,2275,474,83,66,219,35,0,0,3821,431,1211,36,0,0,2028,115,3793,245,3548,8.5,36.4,3821,1070,2751,28.7
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",143,31.5,0,20.3,6.3,22.4,16.8,2.8,0,0,0,-,30522,208,79,11,8,17,0,0,5,292,88,76,0,0,0,128,0,292,0,292,6.2,36.3,292,132,160,38.5
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",406,13.1,10.3,15.3,9.4,13.5,8.6,9.1,10.1,0,10.6,36667,65774,995,294,41,48,40,28,6,10,1437,699,553,6,13,0,151,15,1437,551,886,6.5,24.8,1437,565,872,30.6
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1986,20.9,6.8,14.9,8.9,15.6,11.3,9.9,7.1,3.8,0.9,30357,47122,3815,731,220,169,262,23,43,15,6473,947,1075,39,0,0,4412,0,6425,216,6209,30.2,26.2,6473,1477,4996,37.6
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",494,6.7,2,15.4,14.8,11.9,13.6,11.9,15.8,7.9,0,49706,62508,1043,239,31,155,102,12,5,0,1428,386,166,0,138,0,688,50,1428,793,635,8.4,18.8,1428,542,886,41.9
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2030,29.4,10,21.1,10.6,16.3,3.4,5.2,2,0,1.8,20137,31917,3054,792,85,214,145,32,0,0,5946,668,1348,0,45,0,3393,492,5900,495,5405,9,53.2,5946,1382,4564,30.4
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2707,12.4,14.6,16.3,13.8,12.7,20.5,5.3,4.3,0,0,30710,36739,4759,1452,316,426,544,19,0,0,7814,2322,3877,57,200,0,1251,107,7814,769,7045,4.9,41.7,7814,4183,3631,29.1
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",2047,20.1,17.3,16.8,11.6,12.5,9.8,3.4,5.3,2,1.3,22940,36540,3706,843,184,142,269,47,0,0,6190,827,1954,35,62,0,3172,140,6161,768,5393,13.6,48.3,6190,1794,4396,36.7
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1636,19.3,19.6,25.2,11.4,11.1,5.7,3.1,3.3,1.3,0,19077,28463,2549,355,211,119,254,33,0,0,4446,639,1902,17,173,0,1594,121,4245,235,4010,7.8,41,4446,1887,2559,28.9
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",718,6.1,13.6,18.2,6.5,12.8,30.5,3.2,4.9,2.8,1.3,39643,50928,1214,176,64,150,151,43,0,16,1876,799,711,0,0,0,251,115,1876,363,1513,7.1,23.8,1876,704,1172,30.9
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1325,11.4,8.5,13.7,18.8,18.3,14.6,3,9.3,2.4,0,32872,43673,2674,642,133,163,199,54,11,0,4536,552,1211,5,0,0,2326,442,4519,675,3844,14.9,25,4536,1238,3298,42.8
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1564,23.7,10.5,16.4,15.7,9,10.3,6.6,4.3,1.5,2.1,24683,39648,2780,516,131,166,184,120,8,0,5101,510,1539,64,0,0,2690,298,4697,651,4046,12.6,43.6,5101,1562,3539,50.0+
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1888,19.5,15,13.3,13.4,13.3,11.1,6.7,5,2.6,0,27321,38227,3460,650,68,334,240,59,12,0,5583,1168,1336,29,65,0,2835,150,5482,310,5172,28,45.2,5583,1489,4094,47.7
