AP Device Name,Boro,CB,PPT ID,Street Address,Latitude,Longitude,SSID(s),Uptime %,Number of Unique Clients,Number of Sessions,Minutes Used,MB Transferred (upload),MB Transferred (download),MB Transferred (total),Daily Avg - Number of Unique Clients,Daily Avg - Number of Sessions,Daily Avg - Minutes Used,Daily Avg - MB Transferred (upload),Daily Avg - MB Transferred (download),Daily Avg - MB Transferred (total)
bk-01-108703,bk,1,108703,213 UNION AVENUE,40.70682217,-73.95052895,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"11,593","36,797","102,960","17,046","142,473","159,519",374,"1,187","3,321",550,"4,596","5,146"
bk-01-108949,bk,1,108949,709 BROADWAY,40.701419,-73.942908,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"25,219","75,194","234,063","41,436","327,003","368,439",814,"2,426","7,550","1,337","10,548","11,885"
bk-01-108952,bk,1,108952,511 BROADWAY,40.70537096,-73.94996349,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"23,497","56,722","138,142","27,941","194,260","222,201",758,"1,830","4,456",901,"6,266","7,168"
bk-01-109091,bk,1,109091,24 GRAHAM AVENUE,40.70154219,-73.94216928,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"9,336","31,424","179,954","18,587","246,474","265,060",301,"1,014","5,805",600,"7,951","8,550"
bk-01-109252,bk,1,109252,395 BROADWAY,40.70720786,-73.95419488,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"35,990","107,471","298,471","52,864","359,326","412,189","1,894","5,656","15,709","2,782","18,912","21,694"
bk-01-109262,bk,1,109262,101 GRAHAM AVENUE,40.70506042,-73.94291758,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",48.05%,"3,621","11,190","36,978","8,397","70,917","79,315","3,621","11,190","36,978","8,397","70,917","79,315"
bk-01-125263,bk,1,125263,1007 MANHATTAN AVENUE,40.7334,-73.954886,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"6,695","32,881","176,930","28,199","445,754","473,953",216,"1,061","5,707",910,"14,379","15,289"
bk-01-125268,bk,1,125268,183 CALYER STREET,40.728133,-73.953439,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"12,693","53,799","186,636","34,806","250,232","285,038",409,"1,735","6,021","1,123","8,072","9,195"
bk-01-125630,bk,1,125630,61 GRAHAM AVENUE,40.703654,-73.942682,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"7,231","22,173","85,560","8,995","76,861","85,856",233,715,"2,760",290,"2,479","2,770"
bk-01-126207,bk,1,126207,268 BROADWAY,40.70877985,-73.95918257,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"37,759","179,194","386,981","56,345","328,840","385,184","1,218","5,780","12,483","1,818","10,608","12,425"
bk-01-126657,bk,1,126657,46 GRAHAM AVENUE,40.702247,-73.942287,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",99.87%,"6,538","21,356","73,875","9,950","63,497","73,447",211,689,"2,383",321,"2,048","2,369"
bk-01-126659,bk,1,126659,2 GRAHAM AVENUE,40.70099,-73.94209,"LinkNYC Free Wi-Fi, LinkNYC Private, SONYC IOT",100.00%,"27,663","88,320","242,262","28,851","211,353","240,203",892,"2,849","7,815",931,"6,818","7,748"
