GF DoITT Submitted to CB (A),Site ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,DoITT: DoITT NTP Issued (A),GF CB Comment Period Ends (A),DoITT: GF DoITT Submitted to CB (A),BIN,BBL,Census Tract,Location 1,Legacy ID,Site Type,Initial Submission (A),Final Submission (A)
08/15/2018,si-01-GF55081,40.64369,-74.07643,Staten Island,C4-2,49,501,36 RICHMOND TERRACE,WALL STREET,SCHUYLER STREET,NE,10301,,No,0,West New Brighton-New Brighton-St. George,82656,,10/14/2018,08/14/2018,5000073,5000070086,5000300,"(40.6436862, -74.07642539)",LINK-025481,New Site,06/29/2018,
08/15/2018,si-01-GF55080,40.64170,-74.07705,Staten Island,C4-2,49,501,26 CENTRAL AVENUE,HYATT STREET,SLOSSON TERRACE,NW,10301,,No,0,West New Brighton-New Brighton-St. George,82653,,10/14/2018,08/14/2018,5000030,5000060021,5000300,"(40.64170058516458, -74.07704509343239)",LINK-025480,New Site,06/28/2018,
08/15/2018,si-01-GF55103,40.63866,-74.07589,Staten Island,C4-2,49,501,150 BAY STREET,CENTRAL AVENUE,VICTORY BOULEVARD,MIDBLOCK,10301,,No,0,West New Brighton-New Brighton-St. George,82651,,10/14/2018,08/14/2018,5000021,5000010021,5000300,"(40.63865776812222, -74.07589397882975)",LINK-025503,New Site,08/10/2018,
01/10/2018,bk-17-GF33566,40.65072,-73.94999,Brooklyn,C1-3,40,317,2846 CHURCH AVENUE,NOSTRAND AVENUE,LLOYD STREET,SW,11226,,No,0,Erasmus,82326,,03/11/2018,12/18/2017,3336222,3051050039,3082400,"(40.65072103, -73.94999324)",LINK-024257,New Site,09/25/2017,
03/09/2018,BX-02-GF22192,40.82211,-73.89711,Bronx,C2-4,17,202,937 WESTCHESTER AVENUE,INTERVALE AVENUE,ROGERS PLACE,NW,10459,,No,0,Longwood,82495,,05/08/2018,12/06/2017,2005390,2026990060,2012901,"(40.82210735, -73.89710558)",LINK-024305,New Site,11/08/2017,
03/09/2018,BX-02-GF22195,40.82450,-73.89289,Bronx,C1-4,17,202,1031 WESTCHESTER AVENUE,EAST 165 STREET,SIMPSON STREET,NE,10459,Southern Boulevard,Yes,0,Hunts Point,82502,,05/08/2018,12/06/2017,2005801,2027270001,2012701,"(40.82450311, -73.8928854)",LINK-024308,New Site,11/08/2017,
03/09/2018,BX-02-GF22194,40.82382,-73.89396,Bronx,C1-4,17,202,995C WESTCHESTER AVENUE,EAST 165 STREET,WESTCHESTER AVENUE,MIDBLOCK,10459,,No,0,Longwood,82501,,05/08/2018,12/06/2017,2005668,2027150049,2012901,"(40.82381955, -73.89396079)",LINK-024307,New Site,11/08/2017,
02/16/2018,BX-04-GF22198,40.82610,-73.92045,Bronx,C6-2,16,204,236 EAST 161 STREET,SHERMAN AVENUE,CONCOURSE VILLAGE EAST,MIDBLOCK,10451,161st Street,Yes,0,East Concourse-Concourse Village,82560,,04/17/2018,02/14/2018,2099027,2024430090,2006100,"(40.82610181, -73.92045196)",LINK-024311,New Site,12/12/2017,
12/14/2017,bk-02-GF33567,40.69287,-73.98424,Brooklyn,C6-4,33,302,151 DUFFIELD STREET,METROTECH ROADWAY,WILLOUGHBY STREET,MIDBLOCK,11201,MetroTech,Yes,0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82426,,02/12/2018,12/06/2017,3319505,3020590001,3001500,"(40.692872, -73.98424038)",LINK-024312,New Site,10/11/2017,
01/10/2018,bk-17-GF33559,40.65115,-73.94110,Brooklyn,C2-2,45,317,3824 CHURCH AVENUE,EAST 39 STREET,EAST 38 STREET,SW,11203,,No,0,East Flatbush-Farragut,82297,,03/11/2018,12/18/2017,3109611,3048920010,3085800,"(40.651149, -73.941099)",LINK-023710,New Site,09/07/2017,
