"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households without broadband internet such "
"36061000500, NY","36061000500","=""36061000500""","N/A"
"36061014300, NY","36061014300","=""36061014300""","N/A"
"36061024000, NY","36061024000","=""36061024000""","N/A"
"36061009900, NY","36061009900","=""36061009900""","9.55"
"36061029700, NY","36061029700","=""36061029700""","N/A"
"36061028700, NY","36061028700","=""36061028700""","33.38"
"36061027500, NY","36061027500","=""36061027500""","16.19"
"36061006200, NY","36061006200","=""36061006200""","20.18"
"36061016200, NY","36061016200","=""36061016200""","44.09"
"36061031100, NY","36061031100","=""36061031100""","N/A"
"36061025500, NY","36061025500","=""36061025500""","38.03"
"36061029900, NY","36061029900","=""36061029900""","43.61"
"36061004400, NY","36061004400","=""36061004400""","19.94"
"36061013500, NY","36061013500","=""36061013500""","26.26"
"36061012900, NY","36061012900","=""36061012900""","8.82"
"36061023801, NY","36061023801","=""36061023801""","17.78"
"36061007900, NY","36061007900","=""36061007900""","14.60"
"36061003900, NY","36061003900","=""36061003900""","18.73"
"36061000202, NY","36061000202","=""36061000202""","45.81"
"36061000900, NY","36061000900","=""36061000900""","10.69"
"36061031703, NY","36061031703","=""36061031703""","5.18"
"36061003700, NY","36061003700","=""36061003700""","12.46"
"36061015200, NY","36061015200","=""36061015200""","29.60"
"36061031704, NY","36061031704","=""36061031704""","10.72"
"36061024700, NY","36061024700","=""36061024700""","36.86"
"36061021100, NY","36061021100","=""36061021100""","28.56"
"36061020500, NY","36061020500","=""36061020500""","26.94"
"36061002400, NY","36061002400","=""36061002400""","63.07"
"36061015100, NY","36061015100","=""36061015100""","34.28"
"36061016300, NY","36061016300","=""36061016300""","17.62"
"36061008601, NY","36061008601","=""36061008601""","10.31"
"36061023802, NY","36061023802","=""36061023802""","13.95"
"36061023700, NY","36061023700","=""36061023700""","26.77"
"36061023300, NY","36061023300","=""36061023300""","28.16"
"36061024200, NY","36061024200","=""36061024200""","46.20"
"36061006900, NY","36061006900","=""36061006900""","14.29"
"36061017800, NY","36061017800","=""36061017800""","35.51"
"36061021900, NY","36061021900","=""36061021900""","45.31"
"36061007500, NY","36061007500","=""36061007500""","22.85"
"36061000700, NY","36061000700","=""36061000700""","10.30"
"36061001002, NY","36061001002","=""36061001002""","75.65"
"36061008602, NY","36061008602","=""36061008602""","N/A"
"36061006000, NY","36061006000","=""36061006000""","15.57"
"36061000600, NY","36061000600","=""36061000600""","56.47"
"36061001501, NY","36061001501","=""36061001501""","20.51"
"36061015500, NY","36061015500","=""36061015500""","13.02"
"36061019900, NY","36061019900","=""36061019900""","19.76"
"36061017100, NY","36061017100","=""36061017100""","11.17"
"36061018300, NY","36061018300","=""36061018300""","18.01"
"36061023600, NY","36061023600","=""36061023600""","33.03"
"36061031900, NY","36061031900","=""36061031900""","N/A"
