Census Tract,FIPS Code,Formatted FIPS,% of households w/o broadband
"36081990100, NY",36081990100,36081990100,N/A
"36085990100, NY",36085990100,36085990100,N/A
"36081107202, NY",36081107202,36081107202,N/A
"36047070203, NY",36047070203,36047070203,N/A
"36081071600, NY",36081071600,36081071600,N/A
"36047990100, NY",36047990100,36047990100,N/A
"36005050400, NY",36005050400,36005050400,27.5
"36085022800, NY",36085022800,36085022800,0
"36085029102, NY",36085029102,36085029102,13.98
"36085019800, NY",36085019800,36085019800,21.82
"36085022600, NY",36085022600,36085022600,18.99
"36047066600, NY",36047066600,36047066600,N/A
"36005051600, NY",36005051600,36005051600,23.96
"36081091601, NY",36081091601,36081091601,25.68
"36047005300, NY",36047005300,36047005300,18.24
"36047070202, NY",36047070202,36047070202,N/A
"36005043500, NY",36005043500,36005043500,45.76
"36047001800, NY",36047001800,36047001800,N/A
"36081038302, NY",36081038302,36081038302,N/A
"36085027900, NY",36085027900,36085027900,21.57
"36085017600, NY",36085017600,36085017600,14.4
"36085018100, NY",36085018100,36085018100,15.88
"36081033100, NY",36081033100,36081033100,N/A
"36081099705, NY",36081099705,36081099705,20.21
"36085015400, NY",36085015400,36085015400,N/A
"36085032300, NY",36085032300,36085032300,34.23
"36005013800, NY",36005013800,36005013800,29.15
"36061000500, NY",36061000500,36061000500,N/A
"36005011800, NY",36005011800,36005011800,25.27
"36047107000, NY",36047107000,36047107000,19.06
"36005009300, NY",36005009300,36005009300,38.64
"36085024402, NY",36085024402,36085024402,17.95
"36085015603, NY",36085015603,36085015603,13.96
"36061014300, NY",36061014300,36061014300,N/A
"36005030900, NY",36005030900,36005030900,27.87
"36085017700, NY",36085017700,36085017700,22.08
"36085007000, NY",36085007000,36085007000,26.68
"36081092900, NY",36081092900,36081092900,29.14
"36081091800, NY",36081091800,36081091800,N/A
"36081089200, NY",36081089200,36081089200,21.96
"36005016000, NY",36005016000,36005016000,21.49
"36005033400, NY",36005033400,36005033400,31.15
"36081010701, NY",36081010701,36081010701,N/A
"36085027301, NY",36085027301,36085027301,28.4
"36047003400, NY",36047003400,36047003400,27.57
"36081066400, NY",36081066400,36081066400,12.24
"36081056100, NY",36081056100,36081056100,14.81
"36061024000, NY",36061024000,36061024000,N/A
"36085000600, NY",36085000600,36085000600,38.64
"36005001900, NY",36005001900,36005001900,23.84
"36085002100, NY",36085002100,36085002100,35.34
"36005000100, NY",36005000100,36005000100,N/A
"36085011202, NY",36085011202,36085011202,31.38
"36085020801, NY",36085020801,36085020801,18.96
"36005011000, NY",36005011000,36005011000,52.17
"36047070600, NY",36047070600,36047070600,21.23
"36047017700, NY",36047017700,36047017700,N/A
"36085000300, NY",36085000300,36085000300,27.46
"36081138502, NY",36081138502,36081138502,N/A
"36081090700, NY",36081090700,36081090700,36.78
"36081091602, NY",36081091602,36081091602,N/A
"36081094500, NY",36081094500,36081094500,24.56
"36047035200, NY",36047035200,36047035200,67.55
