Census Tract,FIPS Code,Formatted FIPS,Estimated number of households without broadband internet such a
"36081990100, NY",36081990100,36081990100,0
"36085990100, NY",36085990100,36085990100,0
"36081107202, NY",36081107202,36081107202,0
"36047070203, NY",36047070203,36047070203,0
"36081071600, NY",36081071600,36081071600,0
"36047990100, NY",36047990100,36047990100,0
"36005050400, NY",36005050400,36005050400,11
"36085022800, NY",36085022800,36085022800,0
"36085029102, NY",36085029102,36085029102,142
"36085019800, NY",36085019800,36085019800,487
"36085022600, NY",36085022600,36085022600,529
"36047066600, NY",36047066600,36047066600,0
"36005051600, NY",36005051600,36005051600,444
"36081091601, NY",36081091601,36081091601,359
"36047005300, NY",36047005300,36047005300,174
"36047070202, NY",36047070202,36047070202,0
"36005043500, NY",36005043500,36005043500,27
"36047001800, NY",36047001800,36047001800,0
"36081038302, NY",36081038302,36081038302,0
"36085027900, NY",36085027900,36085027900,132
"36085017600, NY",36085017600,36085017600,233
"36085018100, NY",36085018100,36085018100,168
"36081033100, NY",36081033100,36081033100,0
"36081099705, NY",36081099705,36081099705,211
"36085015400, NY",36085015400,36085015400,0
"36085032300, NY",36085032300,36085032300,152
"36005013800, NY",36005013800,36005013800,295
"36061000500, NY",36061000500,36061000500,0
"36005011800, NY",36005011800,36005011800,381
"36047107000, NY",36047107000,36047107000,134
"36005009300, NY",36005009300,36005009300,631
"36085024402, NY",36085024402,36085024402,290
"36085015603, NY",36085015603,36085015603,245
"36061014300, NY",36061014300,36061014300,0
"36005030900, NY",36005030900,36005030900,364
"36085017700, NY",36085017700,36085017700,493
"36085007000, NY",36085007000,36085007000,675
"36081092900, NY",36081092900,36081092900,637
"36081091800, NY",36081091800,36081091800,0
"36081089200, NY",36081089200,36081089200,534
"36005016000, NY",36005016000,36005016000,331
"36005033400, NY",36005033400,36005033400,81
"36081010701, NY",36081010701,36081010701,0
"36085027301, NY",36085027301,36085027301,426
"36047003400, NY",36047003400,36047003400,362
"36081066400, NY",36081066400,36081066400,340
"36081056100, NY",36081056100,36081056100,4
"36061024000, NY",36061024000,36061024000,0
"36085000600, NY",36085000600,36085000600,439
