Census Tract,FIPS Code,Formatted FIPS,% on SNAP 
"36081990100, NY",36081990100,36081990100,N/A
"36085990100, NY",36085990100,36085990100,N/A
"36081107202, NY",36081107202,36081107202,N/A
"36047070203, NY",36047070203,36047070203,N/A
"36081071600, NY",36081071600,36081071600,N/A
"36047990100, NY",36047990100,36047990100,N/A
"36005050400, NY",36005050400,36005050400,72.5
"36085022800, NY",36085022800,36085022800,0
"36085029102, NY",36085029102,36085029102,3.53
"36085019800, NY",36085019800,36085019800,2.24
"36085022600, NY",36085022600,36085022600,2.76
"36047066600, NY",36047066600,36047066600,N/A
"36005051600, NY",36005051600,36005051600,7.51
"36081091601, NY",36081091601,36081091601,1.98
"36047005300, NY",36047005300,36047005300,16.6
"36047070202, NY",36047070202,36047070202,N/A
"36005043500, NY",36005043500,36005043500,46.15
"36047001800, NY",36047001800,36047001800,N/A
"36081038302, NY",36081038302,36081038302,N/A
"36085027900, NY",36085027900,36085027900,3.11
"36085017600, NY",36085017600,36085017600,3.91
"36085018100, NY",36085018100,36085018100,4.15
"36081033100, NY",36081033100,36081033100,N/A
"36081099705, NY",36081099705,36081099705,5.59
"36085015400, NY",36085015400,36085015400,N/A
"36085032300, NY",36085032300,36085032300,8.45
"36005013800, NY",36005013800,36005013800,7.58
"36061000500, NY",36061000500,36061000500,N/A
"36005011800, NY",36005011800,36005011800,3.13
"36047107000, NY",36047107000,36047107000,6.38
"36005009300, NY",36005009300,36005009300,42.33
"36085024402, NY",36085024402,36085024402,2.55
"36085015603, NY",36085015603,36085015603,4.81
"36061014300, NY",36061014300,36061014300,N/A
"36005030900, NY",36005030900,36005030900,3.97
"36085017700, NY",36085017700,36085017700,2.85
"36085007000, NY",36085007000,36085007000,13.35
"36081092900, NY",36081092900,36081092900,19.12
"36081091800, NY",36081091800,36081091800,N/A
"36081089200, NY",36081089200,36081089200,5.26
"36005016000, NY",36005016000,36005016000,1.33
"36005033400, NY",36005033400,36005033400,32.39
"36081010701, NY",36081010701,36081010701,N/A
"36085027301, NY",36085027301,36085027301,5.5
"36047003400, NY",36047003400,36047003400,12.76
"36081066400, NY",36081066400,36081066400,23.5
"36081056100, NY",36081056100,36081056100,0
"36061024000, NY",36061024000,36061024000,N/A
"36085000600, NY",36085000600,36085000600,20.32
"36005001900, NY",36005001900,36005001900,35.56
"36085002100, NY",36085002100,36085002100,34.03
"36005000100, NY",36005000100,36005000100,N/A
"36085011202, NY",36085011202,36085011202,15.38
"36085020801, NY",36085020801,36085020801,8.58
"36005011000, NY",36005011000,36005011000,21.62
"36047070600, NY",36047070600,36047070600,7.75
"36047017700, NY",36047017700,36047017700,N/A
"36085000300, NY",36085000300,36085000300,14.75
"36081138502, NY",36081138502,36081138502,N/A
"36081090700, NY",36081090700,36081090700,10.69
"36081091602, NY",36081091602,36081091602,N/A
"36081094500, NY",36081094500,36081094500,5.47
"36047035200, NY",36047035200,36047035200,87.1
